GEOID20,P1_001N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P2_002N,P2_003N
370630022002014,58,44,10,0,2,0,0,2,5,53
370630022002016,9,6,1,0,0,0,1,1,1,8
370630022002017,0,0,0,0,0,0,0,0,0,0
370630022002018,0,0,0,0,0,0,0,0,0,0
370630022002026,0,0,0,0,0,0,0,0,0,0
370630022002027,0,0,0,0,0,0,0,0,0,0
370630022002028,0,0,0,0,0,0,0,0,0,0
370630022002031,0,0,0,0,0,0,0,0,0,0
370630022002041,99,81,10,2,0,0,0,6,15,84
370630022002064,8,2,0,1,0,0,2,3,2,6
370630022002065,50,43,4,0,0,0,1,2,3,47
